"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Sex","Age group","Offence group","Police Force Area","Value","Value_type","Denominator (Prosecutions at Magistrates Court)","Numerator (Convictions and Magistrates Court and Crown Court)"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","All","West Mercia","85.8","","148","127"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","All","West Midlands","75","","2522","1891"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","All","West Yorkshire","82.5","","1498","1236"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","All","All","Wiltshire","59.6","","47","28"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Avon and Somerset","74.3","","711","528"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Bedfordshire","81.9","","332","272"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Cambridgeshire","92.7","","164","152"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Cheshire","84","","81","68"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Cleveland","92","","50","46"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Cumbria","91.7","","12","11"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Derbyshire","82.3","","147","121"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Devon and Cornwall","69.7","","66","46"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Dorset","90.2","","92","83"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Durham","55.6","","9","5"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Dyfed-Powys","70.7","","41","29"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Essex","85.2","","384","327"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Gloucestershire","84.2","","95","80"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Greater Manchester","79.9","","1081","864"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Gwent","80.6","","67","54"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Hampshire","77.1","","406","313"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Hertfordshire","79.6","","490","390"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Humberside","87.5","","72","63"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Kent","79.3","","334","265"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Lancashire","71.3","","108","77"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Leicestershire","83.8","","345","289"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Lincolnshire","76.2","","42","32"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Merseyside","72.9","","288","210"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Metropolitan Police","78.4","","17237","13518"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Norfolk","86.3","","146","126"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","North Wales","100","","24","24"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","North Yorkshire","88.2","","34","30"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Northamptonshire","79.7","","256","204"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Northumbria","70.7","","92","65"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Nottinghamshire","79.3","","571","453"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","South Wales","72.6","","248","180"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","South Yorkshire","84.5","","207","175"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Staffordshire","67.4","","144","97"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Suffolk","79.9","","174","139"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Surrey","77.7","","197","153"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Sussex","97.7","","350","342"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Thames Valley","77.2","","851","657"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Warwickshire","75.6","","78","59"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","West Mercia","79.5","","112","89"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","West Midlands","79.5","","2350","1868"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","West Yorkshire","82.5","","550","454"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","All","All","Wiltshire","77.4","","115","89"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Avon and Somerset","73.7","","327","241"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Bedfordshire","80.7","","161","130"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Cambridgeshire","86.3","","95","82"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Cheshire","75","","36","27"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Cleveland","88.6","","44","39"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Cumbria","71.4","","21","15"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Derbyshire","77.1","","131","101"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Devon and Cornwall","79.7","","69","55"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Dorset","79.1","","67","53"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Durham","76.2","","21","16"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Dyfed-Powys","75","","12","9"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Essex","79.1","","196","155"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Gloucestershire","77.5","","71","55"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Greater Manchester","83.5","","702","586"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Gwent","78.4","","51","40"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Hampshire","81.6","","158","129"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Hertfordshire","78.3","","221","173"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Humberside","84","","75","63"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Kent","82.4","","125","103"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Lancashire","85.8","","155","133"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Leicestershire","79.2","","183","145"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Lincolnshire","93.3","","30","28"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Merseyside","76.2","","147","112"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Metropolitan Police","77.1","","3998","3083"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Norfolk","88.3","","60","53"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","North Wales","60","","10","6"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","North Yorkshire","85.2","","27","23"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Northamptonshire","83.2","","107","89"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Northumbria","86.8","","38","33"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Nottinghamshire","78.6","","379","298"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","South Wales","70.6","","235","166"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","South Yorkshire","180","","5","9"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Staffordshire","83","","141","117"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Suffolk","75.9","","112","85"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Surrey","83.1","","83","69"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Sussex","90.7","","183","166"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Thames Valley","76.3","","594","453"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Warwickshire","78.4","","51","40"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","West Mercia","73.7","","76","56"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","West Midlands","77.2","","1021","788"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","West Yorkshire","77.1","","541","417"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","All","All","Wiltshire","70","","80","56"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Avon and Somerset","83.1","","59","49"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Bedfordshire","120.8","","24","29"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Cambridgeshire","92.6","","27","25"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Cheshire","90","","20","18"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Cleveland","75","","36","27"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Cumbria","81.8","","11","9"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Derbyshire","97.3","","37","36"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Devon and Cornwall","80","","10","8"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Dorset","91.7","","12","11"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Durham","50","","16","8"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Dyfed-Powys","100","","10","10"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Essex","100","","59","59"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Gloucestershire","80","","25","20"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Greater Manchester","76","","242","184"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Gwent","64.7","","17","11"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Hampshire","75.3","","89","67"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Hertfordshire","75","","76","57"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Humberside","91.4","","35","32"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Kent","70.2","","151","106"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Lancashire","157.1","","7","11"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Leicestershire","82","","61","50"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Lincolnshire","89.5","","19","17"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Merseyside","70.3","","118","83"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Metropolitan Police","84.3","","2033","1714"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Norfolk","100","","19","19"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","North Wales","89.5","","19","17"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","North Yorkshire","57.9","","19","11"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Northamptonshire","61.3","","31","19"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Northumbria","57.9","","19","11"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Nottinghamshire","85.9","","64","55"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","South Wales","72.5","","80","58"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","South Yorkshire","100","","14","14"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Staffordshire","85.1","","47","40"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Suffolk","97.1","","34","33"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Surrey","76","","25","19"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Sussex","83.6","","55","46"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Thames Valley","96.5","","86","83"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Warwickshire","76.9","","13","10"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","West Mercia","65","","20","13"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","West Midlands","78","","336","262"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","West Yorkshire","100","","100","100"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","All","All","All","Wiltshire","100","","18","18"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Avon and Somerset","78.8","","8967","7062"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Bedfordshire","83.7","","1943","1627"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Cambridgeshire","93.5","","2730","2552"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Cheshire","86.9","","4913","4270"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Cleveland","88.8","","5674","5037"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Cumbria","85","","3234","2749"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Derbyshire","81","","4880","3955"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Devon and Cornwall","86","","5988","5150"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Dorset","86","","2566","2206"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Durham","87.1","","3523","3070"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Dyfed-Powys","83.2","","3031","2522"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Essex","87.4","","6336","5536"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Gloucestershire","89.5","","1969","1763"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Greater Manchester","86.1","","16601","14295"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Gwent","83.6","","3804","3182"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Hampshire","85.9","","8697","7472"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Hertfordshire","81","","4856","3933"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Humberside","88.1","","6513","5739"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Kent","81.5","","7690","6270"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Lancashire","82.3","","11685","9618"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Leicestershire","84.2","","3718","3129"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Lincolnshire","88.6","","3245","2876"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Merseyside","77.8","","11839","9210"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Metropolitan Police","82.1","","28678","23551"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Norfolk","87.3","","3966","3463"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","North Wales","86.6","","3787","3279"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","North Yorkshire","85","","3898","3312"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Northamptonshire","81.4","","3054","2485"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Northumbria","88.7","","11185","9916"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Nottinghamshire","81.6","","5923","4831"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","South Wales","84.8","","9166","7773"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","South Yorkshire","82.6","","7289","6019"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Staffordshire","82.8","","4707","3897"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Suffolk","88.5","","2781","2462"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Surrey","84.4","","3165","2672"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Sussex","84.3","","6269","5282"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Thames Valley","79.6","","8558","6810"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Warwickshire","90.2","","1485","1339"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","West Mercia","85.2","","4894","4170"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","West Midlands","82.5","","11026","9097"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","West Yorkshire","85.9","","11529","9904"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","All","All","All","Wiltshire","75.2","","2539","1910"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Avon and Somerset","83.2","","173","144"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Bedfordshire","72.4","","323","234"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Cambridgeshire","89.5","","153","137"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Cheshire","61.7","","60","37"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Cleveland","68.9","","122","84"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Cumbria","75","","20","15"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Derbyshire","63.9","","208","133"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Devon and Cornwall","62.9","","35","22"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Dorset","69.7","","33","23"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Durham","104.5","","22","23"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Dyfed-Powys","121.4","","14","17"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Essex","78.6","","159","125"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Gloucestershire","51.6","","31","16"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","All","All","All","Greater Manchester","74.6","","1345","1004"
